Nmsg,Time,Ax,Ay,Az,Gx,Gy,Gz,Gfx,Gfy,Gfz,Roll,Pitch,Heading,Alt,Latitude,Longitude,Arsp,Presion,SBUS_Flags,Flight_Mode,Interruptor_1,Interruptor_2,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16,OUT_1,OUT_2,OUT_3,OUT_4,OUT_5,OUT_6,OUT_7,OUT_8,OUT_9,OUT_10
18298,182768,0.015272528,0.39394286,9.758918,0.006355378,-0.0032951294,0.0034477073,0.0,0.0,0.0,2.3339303,-0.15940905,-55.258076,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18299,182778,0.030370831,0.39125973,9.7656555,0.005061042,-0.0056252787,0.004490202,0.0,0.0,0.0,2.3315556,-0.16196781,-55.257523,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18300,182788,0.030370831,0.39125973,9.7656555,0.005061042,-0.0056252787,0.004490202,0.0,0.0,0.0,2.3315556,-0.16196781,-55.257523,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18301,182798,0.024174303,0.38364738,9.760135,0.0059206258,-0.0041553415,0.0033806527,0.0,0.0,0.0,2.3336937,-0.15930712,-55.25672,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18302,182808,0.024174303,0.38364738,9.760135,0.0059206258,-0.0041553415,0.0033806527,0.0,0.0,0.0,2.3336937,-0.15930712,-55.25672,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18303,182818,0.011308879,0.3822998,9.795224,0.006689115,-0.0048211645,0.004228126,0.0,0.0,0.0,2.331307,-0.16307023,-55.256287,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18304,182827,0.0486975,0.362894,9.713742,0.0042398223,-0.005205583,0.0035086174,0.0,0.0,0.0,2.334429,-0.15916187,-55.253033,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18305,182837,0.0486975,0.362894,9.713742,0.0042398223,-0.004617432,0.0042244256,0.0,0.0,0.0,2.334429,-0.15916187,-55.253033,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18306,182847,0.0486975,0.362894,9.713742,0.0042398223,-0.004617432,0.0042244256,0.0,0.0,0.0,2.334429,-0.15916187,-55.253033,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18307,182857,0.027096927,0.39242518,9.82101,0.0058824024,-0.0043497058,0.0038047133,0.0,0.0,0.0,2.331899,-0.16353863,-55.249496,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
